t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9993800193e-01	7.7375257245e-05	7.5324223069e-03	7.7375257245e-05	-7.5324223069e-03	6.1998068599e-05	
2.0000000000e+00	9.9974452903e-01	3.1812610316e-04	1.5051376218e-02	3.1812610316e-04	-1.5051376218e-02	2.5547096965e-04	
3.0000000000e+00	9.9945705829e-01	6.7475567133e-04	2.2551470383e-02	6.7475567133e-04	-2.2551470383e-02	5.4294171189e-04	
4.0000000000e+00	9.9906485165e-01	1.1603008695e-03	3.0028585359e-02	1.1603008695e-03	-3.0028585359e-02	9.3514834691e-04	
5.0000000000e+00	9.9853808849e-01	1.8091015860e-03	3.7458130217e-02	1.8091015860e-03	-3.7458130217e-02	1.4619115113e-03	
6.0000000000e+00	9.9793782986e-01	2.5470733067e-03	4.4861692032e-02	2.5470733067e-03	-4.4861692032e-02	2.0621701447e-03	
7.0000000000e+00	9.9718188705e-01	3.4701858112e-03	5.2187435810e-02	3.4701858112e-03	-5.2187435810e-02	2.8181129468e-03	
8.0000000000e+00	9.9636420244e-01	4.4667221437e-03	5.9482318219e-02	4.4667221437e-03	-5.9482318219e-02	3.6357975618e-03	
9.0000000000e+00	9.9538876382e-01	5.6460831798e-03	6.6674442219e-02	5.6460831798e-03	-6.6674442219e-02	4.6112361806e-03	
1.0000000000e+01	9.9435250110e-01	6.8959346451e-03	7.3826946385e-02	6.8959346451e-03	-7.3826946385e-02	5.6474988960e-03	
1.1000000000e+01	9.9316484929e-01	8.3157395189e-03	8.0857494234e-02	8.3157395189e-03	-8.0857494234e-02	6.8351507055e-03	
1.2000000000e+01	9.9191284848e-01	9.8077842894e-03	8.7836203688e-02	9.8077842894e-03	-8.7836203688e-02	8.0871515187e-03	
