t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9986611791e-01	1.1138435878e-04	1.1298063577e-02	1.1138435878e-04	-1.1298063577e-02	1.3388209399e-04	
2.0000000000e+00	9.9946869735e-01	4.4130344817e-04	2.2577118564e-02	4.4130344817e-04	-2.2577118564e-02	5.3130265072e-04	
3.0000000000e+00	9.9878634396e-01	1.0057680414e-03	3.3813021859e-02	1.0057680414e-03	-3.3813021859e-02	1.2136560362e-03	
4.0000000000e+00	9.9790260436e-01	1.7346911128e-03	4.5004769902e-02	1.7346911128e-03	-4.5004769902e-02	2.0973956426e-03	
5.0000000000e+00	9.9678546035e-01	2.6536828161e-03	5.6139765442e-02	2.6536828161e-03	-5.6139765442e-02	3.2145396495e-03	
6.0000000000e+00	9.9534173574e-01	3.8347651362e-03	6.7162628645e-02	3.8347651362e-03	-6.7162628645e-02	4.6582642559e-03	
7.0000000000e+00	9.9374386492e-01	5.1383521519e-03	7.8123979793e-02	5.1383521519e-03	-7.8123979793e-02	6.2561350797e-03	
8.0000000000e+00	9.9182864258e-01	6.6919959051e-03	8.8943322175e-02	6.6919959051e-03	-8.8943322175e-02	8.1713574186e-03	
9.0000000000e+00	9.8968525255e-01	8.4214911759e-03	9.9636285877e-02	8.4214911759e-03	-9.9636285877e-02	1.0314747452e-02	
1.0000000000e+01	9.8737550330e-01	1.0279201445e-02	1.1023710569e-01	1.0279201445e-02	-1.1023710569e-01	1.2624496700e-02	
1.1000000000e+01	9.8469990823e-01	1.2411603986e-02	1.2059561141e-01	1.2411603986e-02	-1.2059561141e-01	1.5300091767e-02	
1.2000000000e+01	9.8188443691e-01	1.4646327674e-02	1.3084818109e-01	1.4646327674e-02	-1.3084818109e-01	1.8115563090e-02	
1.3000000000e+01	9.7881332926e-01	1.7067224902e-02	1.4090307574e-01	1.7067224902e-02	-1.4090307574e-01	2.1186670736e-02	
